"FChat messenger";"Firebase Chat messenger"
"Login";"Вход"
"Email:";"Email:"
"Email";"Email"
"Name:";"Имя:"
"Password:";"ПарольЖ"
"Password";"Пароль"
"Forgot Password";"Забыли пароль?"
"Register";"Регистрация"
"Full Name";"Польное имя"
"Name";"Имя"
"Profile";"Профиль"
"Login:";"Логин"
"Date:";"Дата"
"Logout";"Выход"
"Messages";"Сообщения"
"New Message";"Новое сообщение"
"Cancel";"Отмена"
"Search for people or groups";"Поиск людей или групп"
"Search for people or username";"Поиск людей или имя пользователя"
"Type your message";"Введите ваше сообщение"
"Groups";"Группы"
"New Group";"Новая группа"
"Create";"Создать"
"Group Name";"Имя группы"
"Members:";"Участники"
"Group Details";"Детали группы"
"Close";"Закрыть"
"Last Active:";"Последняя активность"
"Messages:";"Сообщения:"
"Members:";"Участники:"
"Add Member";"Добавить участника"
"Cancel Add Member";"Отменить добавление"
"Leave Group";"Покинуть группу"
"Delete Group";"Удалить группу"
"Back";"Назад"
"People";"Люди"
"Friends";"Друзья"
"Requests";"Запросы"
"sent you a friend request.";"отправил вам запрос на добавление в друзья."
"Friend request sent.";"Запрос отправлен."
"Enter your Email";"Введите Email"
"You’ve come to the right place to reset a forgotten password.";"Вы пришли в нужное место, чтобы сбросить забытый пароль."
"Reset Password";"Сброс пароля"
"Ahoy Mate!";"Привет Дружище!"
"Almost done! Just choose a username and you're good to go!";"Почти готово! Просто выберите имя пользователя!"
"Username";"Имя пользователя"
"Back to Login";"Вернуться на страницу входа"
"Complete";"Готово"
"Conversations";"Диалоги"
"Freiends";"Друзья"
"Photo Message: Do you want to take a photo or choose from your gallery?";"Фото: Вы хотите сделать фотографию или выбрать из своей галереи?"
"Group Picture: Do you want to take a photo or choose from your gallery?";"фото: Вы хотите сделать фотографию или выбрать из своей галереи?"
"has added ";"добавил "
" to the group.";" в группу."
"Are you sure you want to leave this group?";"Вы уверены, что хотите покинуть эту группу?"
" has left this group.";" покинул эту группу."
"Are you sure you want to delete this group?";"Вы уверены, что хотите удалить эту группу?"
"Welcome to ";"Добро пожаловать в "
"Profile Picture: Do you want to take a photo or choose from your gallery?";"Картинка профиля: Вы хотите сделать фотографию или выбрать из своей галереи?"
"Edit Profile";"Изменить"