"mbprecise_AM / PM format";"mbprecise_saat formatı"
"mbprecise_Add a field";"mbprecise_Alan ekle"
"mbprecise_Are you sure you want to remove this field ?";"mbprecise_Bu alanı silmek istediğinize emin misiniz?"
"mbprecise_Button to pick today";"mbprecise_Bugünü seçmek için buton"
"mbprecise_Close time button text";"mbprecise_Kapatma saati butonu metni"
"mbprecise_Color List";"mbprecise_Renk listesi"
"mbprecise_Config";"mbprecise_Yapılandırma"
"mbprecise_Config & model saved successfully";"mbprecise_yapılandırma ve model başarıyla kaydedildi"
"mbprecise_Config error while trying to save";"mbprecise_Kaydedilirken konfigürasyon hatası oluştu"
"mbprecise_Confirmation - request sent to %s";"mbprecise_Confirmation - istek %s gönderildi "
"mbprecise_Content Html";"mbprecise_İçerik Html"
"mbprecise_Content to display after form submission";"mbprecise_Form gönderiminden sonra görüntülenecek içerik"
"mbprecise_Data";"mbprecise_Veri"
"mbprecise_Data received from users";"mbprecise_Kullanıcılardan alınan veri"
"mbprecise_Data recieved time";"mbprecise_veri alınma tarihi"
"mbprecise_Date";"mbprecise_Tarih"
"mbprecise_Date Format";"mbprecise_tarih formatı"
"mbprecise_Days list";"mbprecise_liste"
"mbprecise_Default value";"mbprecise_default değer"
"mbprecise_Default value On/Off";"mbprecise_default değer açık/kapalı"
"mbprecise_Description";"mbprecise_Açıklama"
"mbprecise_Divider";"mbprecise_Bölücü"
"mbprecise_Email";"mbprecise_e-posta"
"mbprecise_Email, text, number, date... Start by adding a field to your form model to define what user will be able to send you throught it.";"mbprecise_E-posta, metin, sayı, tarih... Hangi kullanıcının size ne zaman gönderebileceğini tanımlamak için form modelinize bir alan ekleyerek başlayın."
"mbprecise_Feature id to open after form submission";"mbprecise_Form gönderiminden sonra açılacak özellik kimliği"
"mbprecise_Footer";"mbprecise_Alt bilgi"
"mbprecise_Form Configuration";"mbprecise_Form Yapılandırma"
"mbprecise_Form submitted from %s";"mbprecise_Form %s teslim "
"mbprecise_Header";"mbprecise_Üst Bilgi"
"mbprecise_Here is where you can configure what kind of data your form will receive.";"mbprecise_Formunuzun alacağı veri türlerini burada yapılandırabilirsiniz."
"mbprecise_Hour format";"mbprecise_Saat formatı"
"mbprecise_Html separator";"mbprecise_Html ayırıcı"
"mbprecise_Id";"mbprecise_Kimlik"
"mbprecise_Image";"mbprecise_Görsel"
"mbprecise_Incomplete form message";"mbprecise_Tamamlanmamış form mesajı"
"mbprecise_Incomplete form title";"mbprecise_Tamamlanmamış form başlığı"
"mbprecise_Invalid email message";"mbprecise_Geçersiz e-posta mesajı"
"mbprecise_Long Text";"mbprecise_Uzun metin"
"mbprecise_Mail Confirmation message";"mbprecise_Mail Onay mesajı"
"mbprecise_Max";"mbprecise_Max"
"mbprecise_Min";"mbprecise_Min"
"mbprecise_Model";"mbprecise_Model"
"mbprecise_Model Configuration";"mbprecise_Model yapılandırma"
"mbprecise_Monday as first day";"mbprecise_İlk gün olarak pazartesi"
"mbprecise_Months list";"mbprecise_Ay listesi"
"mbprecise_Multi List";"mbprecise_Çoklu liste"
"mbprecise_New field";"mbprecise_Yeni alan"
"mbprecise_No field in this form model yet";"mbprecise_Bu form modelinde henüz alan yok"
"mbprecise_Number of decimal";"mbprecise_ondalık rakam"
"mbprecise_PlaceHolder";"mbprecise_YerTutucu"
"mbprecise_Please enter new item id";"mbprecise_Lütfen yeni bir öğe kimliği girin"
"mbprecise_Range";"mbprecise_Sıralama"
"mbprecise_Receiver mail address";"mbprecise_alıcı mail adresi"
"mbprecise_Request number";"mbprecise_Request numarası"
"mbprecise_Required";"mbprecise_Gerekli"
"mbprecise_Required field message";"mbprecise_Gerekli alan mesajı"
"mbprecise_Select list";"mbprecise_Liste seç"
"mbprecise_Send confirmation email to user";"mbprecise_Send onay e-posta için Kullanıcı"
"mbprecise_Set time button text";"mbprecise_Zaman butonu metni"
"mbprecise_Step";"mbprecise_adım"
"mbprecise_Submit button text";"mbprecise_Gönder butonu metni"
"mbprecise_Text";"mbprecise_metin"
"mbprecise_Time";"mbprecise_zamanı"
"mbprecise_Today button text";"mbprecise_Bugün butonu metni"
"mbprecise_Toggle";"mbprecise_açma-kapama butonu"
"mbprecise_Type";"mbprecise_Türü"
"mbprecise_Value list";"mbprecise_değer listesi"
"mbprecise_add";"mbprecise_ekle"
"mbprecise_add new entrie";"mbprecise_Yeni girdi ekle"
"mbprecise_apply";"mbprecise_uygula"
"mbprecise_cancel";"mbprecise_iptal et"
"mbprecise_color";"mbprecise_Renk"
"mbprecise_date";"mbprecise_tarih"
"mbprecise_divider";"mbprecise_bölücü"
"mbprecise_edit";"mbprecise_düzenle"
"mbprecise_email";"mbprecise_e-posta"
"mbprecise_export csv";"mbprecise_csv dışa aktar"
"mbprecise_export json";"mbprecise_json dışa aktar"
"mbprecise_features to open after submission";"mbprecise_teslim edildikten sonra açılacak özellikler"
"mbprecise_field id";"mbprecise_alan kimliği"
"mbprecise_image";"mbprecise_görsel"
"mbprecise_longtext";"mbprecise_uzunmetin"
"mbprecise_max_length";"mbprecise_Maksimum uzunluk"
"mbprecise_multilist";"mbprecise_çokluliste"
"mbprecise_number";"mbprecise_rakam"
"mbprecise_range";"mbprecise_sıralama"
"mbprecise_remove";"mbprecise_Kaldır"
"mbprecise_selectlist";"mbprecise_listeseç"
"mbprecise_separatorhtml";"mbprecise_ayırıcıhtml"
"mbprecise_show";"mbprecise_göster"
"mbprecise_text";"mbprecise_metin"
"mbprecise_this id is al-ready used by some other field";"mbprecise_bu kimlik başka alanlar için kullanılıyor"
"mbprecise_time";"mbprecise_zaman"
"mbprecise_toggle";"mbprecise_açma-kapama butonu"
